PERIODO,ESTU_TIPODOCUMENTO,ESTU_CONSECUTIVO,COLE_AREA_UBICACION,COLE_BILINGUE,COLE_CALENDARIO,COLE_CARACTER,COLE_COD_DANE_ESTABLECIMIENTO,COLE_COD_DANE_SEDE,COLE_COD_DEPTO_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_CODIGO_ICFES,COLE_DEPTO_UBICACION,COLE_GENERO,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_NATURALEZA,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,ESTU_COD_DEPTO_PRESENTACION,ESTU_COD_MCPIO_PRESENTACION,ESTU_COD_RESIDE_DEPTO,ESTU_COD_RESIDE_MCPIO,ESTU_DEPTO_PRESENTACION,ESTU_DEPTO_RESIDE,ESTU_ESTADOINVESTIGACION,ESTU_ESTUDIANTE,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_MCPIO_PRESENTACION,ESTU_MCPIO_RESIDE,ESTU_NACIONALIDAD,ESTU_PAIS_RESIDE,ESTU_PRIVADO_LIBERTAD,FAMI_CUARTOSHOGAR,FAMI_EDUCACIONMADRE,FAMI_EDUCACIONPADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEAUTOMOVIL,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_TIENELAVADORA,DESEMP_INGLES,PUNT_INGLES,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_GLOBAL
20102,CC,SB11201020248452,RURAL,N,A,TÉCNICO,281794004683,281794004683,81,81794,082800,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA DE PROMOCION AGROPECUARIA,INSTITUTO DE PROMOCION  AGROPECUARIA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,28/07/1992,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Cuatro,Primaria incompleta,No sabe,Estrato 1,Cinco,No,No,No,No,A1,52.08,42.46,,,,
20112,TI,SB11201120248362,URBANO,N,A,ACADÉMICO,381591000024,381591000024,81,81591,058321,ARAUCA,MIXTO,MAÑANA,PUERTO RONDÓN,OFICIAL,INSTITUCION EDUCATIVA LA INMACULADA,LA INMACULADA,S,81,81794,81,81591,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,11/12/1993,F,TAME,PUERTO RONDÓN,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,No sabe,Estrato 1,Cinco,No,No,Si,Si,A1,49,43,,,,
20102,CC,SB11201020582252,URBANO,N,A,TÉCNICO/ACADÉMICO,181794000748,181794000748,81,81794,030668,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA LICEO TAME,LICEO TAME,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,18/05/1991,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria completa,Estrato 1,Cuatro,No,No,No,No,A1,55.62,39.25,,,,
20102,TI,SB11201020248497,URBANO,N,A,ACADÉMICO,181794000021,181794000021,81,81794,093120,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA INOCENCIO CHINCA,INOCENCIO CHINCA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,25/03/1994,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Primaria incompleta,Primaria incompleta,Estrato 1,Tres,No,No,No,No,A-,43.53,48.17,,,,
20112,CE,SB11201120248633,URBANO,N,A,TÉCNICO/ACADÉMICO,381794000399,381794000399,81,81794,104976,ARAUCA,FEMENINO,COMPLETA,TAME,OFICIAL,INSTITUCION EDUCATIVA ORIENTAL FEMENINO,INSTITUTO ORIENTAL FEMENINO,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,13/11/1992,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria completa,Estrato 2,Cuatro,No,No,No,No,A-,39,42,,,,
20102,TI,SB11201020498954,RURAL,N,A,ACADÉMICO,281794001668,281794001668,81,81794,110411,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA JOEL SIERRA,AGROAMBIENTAL JOEL SIERRA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,07/07/1993,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Cinco,Primaria completa,Primaria incompleta,Estrato 1,Seis,No,No,No,No,A-,47.58,48.09,,,,
20132,TI,SB11201320475197,URBANO,N,A,TÉCNICO/ACADÉMICO,381794000399,381794000399,81,81794,046151,ARAUCA,FEMENINO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA ORIENTAL FEMENINO,INSTITUTO ORIENTAL FEMENINO,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,05/01/1996,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Cinco,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,Cinco,Si,Si,Si,Si,A1,46,44,,,,
20112,CC,SB11201120248388,RURAL,N,A,TÉCNICO,281794004683,281794004683,81,81794,149385,ARAUCA,MIXTO,SABATINA,TAME,OFICIAL,INSTITUCION EDUCATIVA DE PROMOCION AGROPECUARIA,INSTITUTO DE PROMOCION  AGROPECUARIA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,18/10/1974,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Cuatro,Primaria incompleta,Primaria incompleta,Estrato 1,Cuatro,No,No,No,No,A-,39,35,,,,
20122,TI,SB11201220555131,URBANO,N,A,TÉCNICO,181794000624,181794000624,81,81794,083311,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL FROILAN FARIAS,COLEGIO TECNICO INDUSTRIAL FROILAN FARIAS,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,02/02/1995,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 1,Cinco,No,Si,No,Si,A-,42,49,,,,
20102,TI,SB11201020248559,RURAL,,A,ACADÉMICO,281794004179,281794004179,81,81794,155473,ARAUCA,MIXTO,SABATINA,TAME,OFICIAL,INSTITUCION EDUCATIVA ERNESTO RINCON DUCON,INSTITUCION EDUCATIVA ERNESTO RINCON DUCON - SEDE PRINCIPAL,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,05/08/1994,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria incompleta,Estrato 1,Seis,No,No,No,No,A-,48.86,55.62,,,,
20112,TI,SB11201120248241,URBANO,N,A,ACADÉMICO,381794004629,381794004629,81,81794,099275,ARAUCA,MIXTO,COMPLETA,TAME,NO OFICIAL,LICEO ADVENTISTA LIBERTAD,LICEO ADVENTISTA LIBERTAD,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,11/04/1995,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 3,Dos,No,Si,Si,Si,A1,47,55,,,,
20132,TI,SB11201320262513,URBANO,N,A,ACADÉMICO,181794003151,181794003151,81,81794,093112,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA SAN LUIS,COLEGIO NACIONAL SAN LUIS,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,28/04/1995,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Primaria incompleta,Primaria incompleta,Estrato 1,Cinco,No,Si,No,Si,A-,31,40,,,,
20132,TI,SB11201320308519,URBANO,N,A,ACADÉMICO,181794000021,181794000021,81,81794,093120,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA INOCENCIO CHINCA,INOCENCIO CHINCA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,04/05/1997,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 2,Tres,No,Si,No,No,A-,43,47,,,,
20102,TI,SB11201020248626,URBANO,N,A,ACADÉMICO,181794003151,181794003151,81,81794,093112,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA SAN LUIS,COLEGIO NACIONAL SAN LUIS,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,27/05/1993,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Cuatro,Ninguno,Primaria incompleta,Estrato 1,Seis,No,No,No,No,A-,48.42,53.37,,,,
20102,TI,SB11201020248623,URBANO,N,A,ACADÉMICO,181794003151,181794003151,81,81794,093112,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA SAN LUIS,COLEGIO NACIONAL SAN LUIS,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,24/06/1993,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Cinco,Primaria incompleta,Primaria completa,Estrato 1,Diez,No,No,No,Si,A-,44.51,50.67,,,,
20122,TI,SB11201220251643,URBANO,N,A,ACADÉMICO,181794000021,181794000021,81,81794,093120,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA INOCENCIO CHINCA,INOCENCIO CHINCA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,27/01/1994,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 1,Dos,No,No,No,No,A-,39,39,,,,
20122,CC,SB11201220251614,RURAL,N,A,TÉCNICO,281794004683,281794004683,81,81794,082800,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA DE PROMOCION AGROPECUARIA,INSTITUTO DE PROMOCION  AGROPECUARIA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,13/03/1991,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Primaria incompleta,Primaria incompleta,Estrato 1,Cuatro,No,No,No,No,A-,42,43,,,,
20122,TI,SB11201220251555,URBANO,N,A,ACADÉMICO,381591000024,381591000024,81,81591,058321,ARAUCA,MIXTO,MAÑANA,PUERTO RONDÓN,OFICIAL,INSTITUCION EDUCATIVA LA INMACULADA,LA INMACULADA,S,81,81794,81,81591,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,11/06/1995,M,TAME,PUERTO RONDÓN,COLOMBIA,COLOMBIA,N,Dos,,,Estrato 1,Tres,No,,No,No,A1,52,52,,,,
20102,CC,SB11201020248605,URBANO,N,A,TÉCNICO/ACADÉMICO,381794000399,381794000399,81,81794,104976,ARAUCA,FEMENINO,COMPLETA,TAME,OFICIAL,INSTITUCION EDUCATIVA ORIENTAL FEMENINO,INSTITUTO ORIENTAL FEMENINO,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,27/10/1986,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 1,Tres,No,No,No,No,A-,42.07,42.46,,,,
20112,TI,SB11201120248240,URBANO,N,A,ACADÉMICO,381794004629,381794004629,81,81794,099275,ARAUCA,MIXTO,COMPLETA,TAME,NO OFICIAL,LICEO ADVENTISTA LIBERTAD,LICEO ADVENTISTA LIBERTAD,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,14/05/1995,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 2,Cuatro,Si,Si,Si,Si,A-,34,46,,,,
20102,CC,SB11201020248461,RURAL,N,A,TÉCNICO,281794004683,281794004683,81,81794,082800,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA DE PROMOCION AGROPECUARIA,INSTITUTO DE PROMOCION  AGROPECUARIA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,30/11/1991,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Cuatro,No sabe,No sabe,Estrato 1,Siete,No,No,No,No,A-,43.11,63.02,,,,
20112,TI,SB11201120248477,URBANO,N,A,ACADÉMICO,181794000021,181794000021,81,81794,093120,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA INOCENCIO CHINCA,INOCENCIO CHINCA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,10/10/1992,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 2,Seis,No,No,No,No,A2,55,86,,,,
20102,TI,SB11201020248512,URBANO,N,A,ACADÉMICO,181794000021,181794000021,81,81794,093120,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA INOCENCIO CHINCA,INOCENCIO CHINCA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,01/11/1993,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 1,Siete,No,No,No,No,A-,43.53,55.62,,,,
20132,TI,SB11201320500092,RURAL,N,A,TÉCNICO,281794004683,281794004683,81,81794,082800,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA DE PROMOCION AGROPECUARIA,INSTITUTO DE PROMOCION  AGROPECUARIA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,12/06/1997,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 1,Ocho,No,Si,No,Si,A-,42,33,,,,
20112,CC,SB11201120248626,URBANO,N,A,TÉCNICO/ACADÉMICO,381794000399,381794000399,81,81794,104976,ARAUCA,FEMENINO,COMPLETA,TAME,OFICIAL,INSTITUCION EDUCATIVA ORIENTAL FEMENINO,INSTITUTO ORIENTAL FEMENINO,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,11/05/1988,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Cuatro,Primaria incompleta,Primaria incompleta,Estrato 2,Siete,No,No,No,No,A-,39,23,,,,
20132,CC,SB11201320051197,URBANO,N,A,ACADÉMICO,381591000024,381591000024,81,81591,058321,ARAUCA,MIXTO,MAÑANA,PUERTO RONDÓN,OFICIAL,INSTITUCION EDUCATIVA LA INMACULADA,LA INMACULADA,S,81,81794,81,81591,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,12/01/1994,F,TAME,PUERTO RONDÓN,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 1,Tres,No,No,No,No,A1,46,40,,,,
20112,CC,SB11201120248749,RURAL,N,A,TÉCNICO,281794004683,281794004683,81,81794,149385,ARAUCA,MIXTO,SABATINA,TAME,OFICIAL,INSTITUCION EDUCATIVA DE PROMOCION AGROPECUARIA,INSTITUTO DE PROMOCION  AGROPECUARIA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,09/03/1982,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria completa,Estrato 1,Cuatro,No,No,No,No,A1,49,42,,,,
20102,TI,SB11201020248607,URBANO,N,A,ACADÉMICO,181794003151,181794003151,81,81794,093112,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA SAN LUIS,COLEGIO NACIONAL SAN LUIS,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,19/11/1993,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 1,Tres,No,Si,No,Si,A-,37.19,55.62,,,,
20132,TI,SB11201320308404,URBANO,N,A,ACADÉMICO,181794000021,181794000021,81,81794,093120,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA INOCENCIO CHINCA,INOCENCIO CHINCA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,22/06/1997,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,Dos,No,No,No,Si,A-,37,37,,,,
20112,TI,SB11201120543021,URBANO,N,A,TÉCNICO,181794000624,181794000624,81,81794,083311,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL FROILAN FARIAS,COLEGIO TECNICO INDUSTRIAL FROILAN FARIAS,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,26/02/1995,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Uno,Primaria incompleta,Primaria incompleta,Estrato 1,Cinco,No,No,No,No,A1,50,42,,,,
20102,TI,SB11201020248477,URBANO,N,A,ACADÉMICO,181794000021,181794000021,81,81794,093120,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA INOCENCIO CHINCA,INOCENCIO CHINCA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,27/10/1992,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria completa,Estrato 3,Cuatro,No,No,No,Si,A1,56.82,50.82,,,,
20132,CC,SB11201320461092,RURAL,,A,ACADÉMICO,281794004179,281794004179,81,81794,155473,ARAUCA,MIXTO,SABATINA,TAME,OFICIAL,INSTITUCION EDUCATIVA ERNESTO RINCON DUCON,INSTITUCION EDUCATIVA ERNESTO RINCON DUCON - SEDE PRINCIPAL,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,10/06/1994,M,TAME,TAME,COLOMBIA,COLOMBIA,N,Cuatro,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 1,Cuatro,Si,No,No,Si,A-,40,46,,,,
20122,TI,SB11201220557741,URBANO,N,A,TÉCNICO,181794000624,181794000624,81,81794,,ARAUCA,MIXTO,MAÑANA,TAME,OFICIAL,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL FROILAN FARIAS,COLEGIO TECNICO INDUSTRIAL FROILAN FARIAS,S,81,81794,,,ARAUCA,,PUBLICAR,ESTUDIANTE,04/06/1995,F,TAME,,COLOMBIA,COLOMBIA,N,,,,,,,,,,A-,38,49,,,,
20122,TI,SB11201220534922,URBANO,N,,,,000000000000,23,23001,117838,CORDOBA,MIXTO,SABATINA,MONTERÍA,NO OFICIAL,INSTITUCION EDUCATIVA AVANZAR,INSTITUCION EDUCATIVA AVANZAR,N,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,02/10/1995,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 3,Cinco,No,Si,No,Si,A-,36,46,,,,
20111,CC,SB11201110119218,URBANO,N,,,,000000000000,23,23001,119305,CORDOBA,MIXTO,SABATINA,MONTERÍA,NO OFICIAL,INSTITUCION EDUCATIVA AVANZAR,INSTITUCION EDUCATIVA AVANZAR,N,81,81794,,,ARAUCA,,PUBLICAR,ESTUDIANTE,30/10/1989,F,TAME,,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,No sabe,,Ocho,No,No,No,Si,A-,39.87,44.23,,,,
20112,TI,SB11201120248403,RURAL,N,A,TÉCNICO,281794004683,281794004683,81,81794,149385,ARAUCA,MIXTO,SABATINA,TAME,OFICIAL,INSTITUCION EDUCATIVA DE PROMOCION AGROPECUARIA,INSTITUTO DE PROMOCION  AGROPECUARIA,S,81,81794,81,81794,ARAUCA,ARAUCA,PUBLICAR,ESTUDIANTE,21/07/1994,F,TAME,TAME,COLOMBIA,COLOMBIA,N,Tres,Ninguno,Ninguno,Estrato 1,Seis,No,No,No,No,A1,43,38,,,,
